2024-01-14 18:41:00,860 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Current SDK version is 0.16.2
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Configure stats pid to 25016
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Loading settings from /Users/ruilu/.config/wandb/settings
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Loading settings from /Users/ruilu/udacity_repo/wandb/settings
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'use_artifact.py', 'program_abspath': '/Users/ruilu/udacity_repo/use_artifact.py', 'program': '/Users/ruilu/udacity_repo/use_artifact.py'}
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_init.py:_log_setup():526] Logging user logs to /Users/ruilu/udacity_repo/wandb/run-20240114_184100-6xq0lqka/logs/debug.log
2024-01-14 18:41:00,861 INFO    MainThread:25016 [wandb_init.py:_log_setup():527] Logging internal logs to /Users/ruilu/udacity_repo/wandb/run-20240114_184100-6xq0lqka/logs/debug-internal.log
2024-01-14 18:41:00,862 INFO    MainThread:25016 [wandb_init.py:init():566] calling init triggers
2024-01-14 18:41:00,862 INFO    MainThread:25016 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
config: {}
2024-01-14 18:41:00,862 INFO    MainThread:25016 [wandb_init.py:init():616] starting backend
2024-01-14 18:41:00,862 INFO    MainThread:25016 [wandb_init.py:init():620] setting up manager
2024-01-14 18:41:00,864 INFO    MainThread:25016 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-01-14 18:41:00,866 INFO    MainThread:25016 [wandb_init.py:init():628] backend started and connected
2024-01-14 18:41:00,871 INFO    MainThread:25016 [wandb_init.py:init():720] updated telemetry
2024-01-14 18:41:00,902 INFO    MainThread:25016 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-01-14 18:41:01,369 INFO    MainThread:25016 [wandb_run.py:_on_init():2254] communicating current version
2024-01-14 18:41:01,544 INFO    MainThread:25016 [wandb_run.py:_on_init():2263] got version response 
2024-01-14 18:41:01,544 INFO    MainThread:25016 [wandb_init.py:init():804] starting run threads in backend
2024-01-14 18:41:05,806 INFO    MainThread:25016 [wandb_run.py:_console_start():2233] atexit reg
2024-01-14 18:41:05,806 INFO    MainThread:25016 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-01-14 18:41:05,806 INFO    MainThread:25016 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-01-14 18:41:05,806 INFO    MainThread:25016 [wandb_run.py:_redirect():2178] Redirects installed.
2024-01-14 18:41:05,807 INFO    MainThread:25016 [wandb_init.py:init():847] run started, returning control to user process
2024-01-14 18:41:12,938 WARNING MsgRouterThr:25016 [router.py:message_loop():77] message_loop has been closed
